Date,Close/Last,Volume,Open,High,Low
01/31/2022,$88.62,7539845,$88.78,$89.43,$86.92
01/28/2022,$89.22,11561380,$87.98,$89.715,$87.70
01/27/2022,$89.66,9629577,$88.95,$89.74,$87.81
01/26/2022,$87.06,9416372,$88.72,$89.1897,$86.36
01/25/2022,$87.11,8514773,$83.12,$87.26,$81.32
01/24/2022,$83.02,9506258,$80.70,$83.445,$78.7805
01/21/2022,$82.72,10625730,$84.91,$85.11,$82.1456
01/20/2022,$85.63,7707678,$86.05,$88.47,$85.40
01/19/2022,$87.28,7370103,$87.89,$88.44,$85.72
01/18/2022,$87.51,10783450,$88.00,$89.11,$85.82
01/14/2022,$86.74,7946637,$84.22,$86.87,$83.87
01/13/2022,$83.62,6814006,$83.94,$84.86,$83.19
01/12/2022,$84.40,7740127,$84.00,$84.54,$83.10
01/11/2022,$83.59,8510626,$81.61,$83.765,$80.63
01/10/2022,$81.03,9125394,$80.65,$81.16,$79.21
01/07/2022,$80.64,10838780,$78.87,$80.93,$78.38
01/06/2022,$78.49,8679016,$77.82,$78.79,$76.90
01/05/2022,$75.65,9034480,$77.98,$78.27,$75.52
01/04/2022,$76.97,9189329,$74.56,$77.38,$74.28
01/03/2022,$73.77,5769987,$72.03,$73.96,$72.0206
12/31/2021,$72.18,3453908,$71.81,$72.67,$71.6797
12/30/2021,$72.28,3340219,$73.08,$73.70,$72.20
12/29/2021,$72.92,3947322,$73.26,$73.78,$72.44
12/28/2021,$73.12,3383737,$73.41,$73.92,$72.885
12/27/2021,$73.21,3969758,$71.19,$73.25,$70.46
12/23/2021,$71.19,3902796,$71.29,$72.14,$71.04
12/22/2021,$71.08,3775254,$70.50,$71.62,$69.86
12/21/2021,$70.68,6324833,$69.43,$70.84,$69.30
12/20/2021,$68.60,11485030,$67.05,$68.64,$66.06
12/17/2021,$68.61,22942540,$70.90,$71.10,$68.50
12/16/2021,$71.70,7068170,$71.73,$73.06,$71.32
12/15/2021,$70.71,6805602,$70.61,$71.22,$68.67
12/14/2021,$70.68,6669332,$70.56,$71.7415,$70.03
12/13/2021,$71.02,5719137,$72.87,$73.13,$70.52
12/10/2021,$73.49,6065173,$73.39,$73.65,$71.59
12/09/2021,$72.55,6511575,$73.96,$73.96,$72.46
12/08/2021,$74.11,6313232,$74.62,$75.37,$73.59
12/07/2021,$74.57,8136727,$74.16,$75.96,$74.095
12/06/2021,$72.81,6200074,$72.50,$73.51,$71.63
12/03/2021,$71.11,6995666,$72.17,$72.945,$70.1801
12/02/2021,$71.26,8410854,$69.19,$71.645,$68.24
12/01/2021,$69.20,10071030,$72.01,$72.18,$69.15
11/30/2021,$70.13,15723650,$70.69,$72.24,$70.01
11/29/2021,$72.15,9191595,$73.48,$74.70,$71.95
11/26/2021,$71.48,10258740,$70.53,$71.6185,$69.34
11/24/2021,$74.83,7215756,$73.23,$75.49,$73.20
11/23/2021,$73.78,9109782,$72.91,$74.72,$72.84
11/22/2021,$71.89,7445908,$69.64,$72.83,$69.605
11/19/2021,$69.61,8817836,$70.92,$71.30,$69.41
11/18/2021,$72.72,6549326,$72.12,$73.21,$71.61
11/17/2021,$71.97,7628627,$72.12,$73.93,$71.73
11/16/2021,$72.64,7451129,$73.00,$73.805,$72.57
11/15/2021,$72.72,6181437,$72.23,$73.39,$71.74
11/12/2021,$72.36,5329611,$71.59,$72.54,$71.5001
11/11/2021,$72.14,7784695,$73.30,$73.66,$71.99
11/10/2021,$73.00,7484472,$74.50,$74.97,$72.93
11/09/2021,$75.75,6049786,$75.81,$75.99,$74.72
11/08/2021,$75.93,6957665,$75.67,$77.15,$75.46
11/05/2021,$75.45,6987702,$74.56,$75.805,$73.915
11/04/2021,$73.31,8573540,$74.00,$74.78,$72.87
11/03/2021,$72.74,9311832,$72.65,$73.69,$72.25
11/02/2021,$73.03,10891890,$74.538,$75.25,$72.8106
11/01/2021,$74.59,11944580,$74.95,$75.41,$74.42
10/29/2021,$74.49,8079336,$74.43,$75.30,$73.97
10/28/2021,$75.15,5195872,$74.37,$75.34,$74.12
10/27/2021,$74.43,9025555,$75.56,$76.66,$74.25
10/26/2021,$77.03,5898213,$76.69,$77.63,$76.4701
10/25/2021,$76.52,7471151,$76.56,$77.9762,$76.1964
10/22/2021,$75.72,7170189,$75.12,$76.08,$74.99
