Date,Close/Last,Volume,Open,High,Low
01/10/2022,168.26,7026475,167.36,168.30,167.31
01/07/2022,167.75,8191936,167.37,168.01,166.86
01/06/2022,166.99,10902660,167.16,167.75,166.86
01/05/2022,169.06,8715585,170.62,170.93,168.90
01/04/2022,169.57,6965598,168.90,169.72,168.73
01/03/2022,168.33,9014423,168.86,169.01,168.00
12/31/2021,170.96,7039330,170.53,171.04,170.04
12/30/2021,169.80,5426311,168.43,169.81,168.37
12/29/2021,168.59,5889714,167.36,168.69,167.28
12/28/2021,168.64,4545714,169.33,169.65,168.62
12/27/2021,169.37,4763297,168.96,169.42,168.78
12/23/2021,168.97,4551124,168.69,169.16,168.01
12/22/2021,168.59,4672941,167.58,168.64,167.11
12/21/2021,167.02,4548504,167.69,167.7754,166.74
12/20/2021,167.09,6972959,167.88,168.00,167.06
12/17/2021,167.80,9867792,168.73,169.125,167.78
12/16/2021,168.16,11186200,167.01,168.18,166.94
12/15/2021,166.15,14231180,165.27,166.40,163.80
12/14/2021,165.44,8637879,165.34,166.14,165.16
12/13/2021,167.00,6610673,166.90,167.255,166.67
12/10/2021,166.58,6450614,166.72,166.915,166.18
12/09/2021,165.88,4913771,166.54,166.58,165.65
12/08/2021,166.90,4288935,166.51,166.96,166.28
12/07/2021,166.81,4900713,166.20,167.08,166.18
12/06/2021,166.22,4813624,166.14,166.80,165.93
12/03/2021,166.63,9507938,165.49,166.93,165.00
12/02/2021,165.24,9604118,165.89,165.9405,164.63
12/01/2021,166.16,7825484,166.84,167.47,166.06
11/30/2021,165.50,12925270,167.77,169.01,165.37
11/29/2021,166.62,7394940,166.84,167.255,166.38
11/26/2021,166.85,9605192,168.60,168.64,166.37
11/24/2021,167.12,5359457,166.583,167.44,166.32
11/23/2021,167.28,8053370,167.28,167.60,166.53
11/22/2021,168.74,13100510,169.90,170.44,168.42
11/19/2021,172.61,8787253,173.69,174.10,172.235
11/18/2021,173.94,6253445,173.96,174.36,173.53
11/17/2021,174.50,6523061,174.24,174.605,173.89
